rank,lemma,zipf_freq,evidence,in_workbook
298,rule,4.940,verbnet+brown+wn-primary,yes
299,create,5.020,verbnet+brown+wn-primary,yes
300,mark,5.050,verbnet+brown+wn-primary,yes
301,offer,5.050,verbnet+brown+wn-primary,yes
302,pass,5.050,verbnet+brown+wn-primary,yes
303,risk,5.050,verbnet+brown+wn-primary,no
304,sleep,5.050,verbnet+brown+wn-primary,yes
305,ball,5.040,verbnet,yes
306,box,5.040,verbnet+brown,yes
307,district,5.040,wn-primary,no
308,mine,5.040,verbnet+brown+wn-primary,yes
309,minister,5.040,brown+wn-primary,no
310,note,5.040,verbnet+brown+wn-primary,yes
311,visit,5.040,verbnet+brown+wn-primary,yes
312,wall,5.040,brown,no
313,wanna,5.040,brown,no
314,allow,5.010,verbnet+brown+wn-primary,yes
315,culture,5.030,brown,no
316,fan,4.920,brown+wn-primary,no
317,marry,4.400,verbnet+brown+wn-primary,yes
318,pain,5.030,verbnet,yes
319,respect,5.030,verbnet+brown,yes
320,rock,5.030,verbnet+brown,yes
321,speak,5.030,verbnet+brown+wn-primary,yes
322,charge,5.020,verbnet+brown+wn-primary,yes
323,effect,5.020,brown,no
324,except,5.020,wn-primary,no
325,limit,4.700,verbnet+brown+wn-primary,no
326,network,5.020,verbnet,yes
327,require,4.780,verbnet+brown+wn-primary,yes
328,spend,4.970,verbnet+brown+wn-primary,yes
329,store,5.020,verbnet+brown+wn-primary,yes
330,track,5.020,verbnet+brown+wn-primary,yes
331,weight,5.020,verbnet+brown,yes
332,beat,5.010,verbnet+brown+wn-primary,yes
333,brown,5.010,verbnet,yes
334,double,5.010,verbnet+brown,yes
335,expect,5.010,verbnet+brown+wn-primary,yes
336,gas,5.010,verbnet+brown,yes
337,pressure,5.010,verbnet,yes
338,radio,5.010,verbnet+brown,yes
339,station,5.010,verbnet+brown,yes
340,campaign,5.000,brown+wn-primary,no
341,content,5.000,verbnet+brown,yes
342,credit,5.000,verbnet+brown+wn-primary,yes
343,cross,5.000,verbnet+brown+wn-primary,yes
344,describe,4.560,verbnet+brown+wn-primary,yes
345,focus,5.000,verbnet+brown+wn-primary,no
346,husband,5.000,wn-primary,no
347,ice,5.000,verbnet,yes
348,join,5.000,verbnet+brown+wn-primary,yes
349,message,5.000,wn-primary,no
350,section,5.000,verbnet,yes
351,sort,5.000,verbnet+brown+wn-primary,yes
352,speed,5.000,verbnet+brown+wn-primary,yes
353,travel,5.000,verbnet+brown+wn-primary,yes
354,contact,4.990,brown,no
355,drop,4.990,verbnet+brown+wn-primary,yes
356,link,4.990,verbnet+brown+wn-primary,yes
357,tour,4.990,verbnet+brown,yes
358,welcome,4.990,verbnet+brown+wn-primary,yes
359,condition,4.860,verbnet+brown+wn-primary,yes
360,sell,4.980,verbnet+brown+wn-primary,yes
361,agree,4.970,verbnet+brown+wn-primary,yes
362,clean,4.970,verbnet+brown+wn-primary,yes
363,announce,4.260,verbnet+brown+wn-primary,yes
364,coach,4.960,verbnet+brown,yes
365,search,4.960,verbnet+brown+wn-primary,yes
366,subject,4.960,brown,no
367,wow,4.960,verbnet+wn-primary,yes
368,author,4.950,verbnet+wn-primary,yes
369,claim,4.950,verbnet+brown+wn-primary,yes
370,develop,4.750,verbnet+brown+wn-primary,yes
371,fear,4.950,verbnet+brown+wn-primary,yes
372,fit,4.950,verbnet+brown+wn-primary,yes
373,gotta,4.950,brown,no
374,judge,4.950,verbnet+brown+wn-primary,yes
375,letter,4.950,verbnet+wn-primary,yes
376,bar,4.940,verbnet+brown,no
377,battle,4.940,verbnet+brown,yes
378,brain,4.940,verbnet,yes
379,contract,4.940,verbnet+brown+wn-primary,yes
380,feature,4.820,brown,no
381,finish,4.910,verbnet+brown+wn-primary,no
382,grow,4.900,verbnet+brown+wn-primary,yes
383,hurt,4.940,verbnet+brown+wn-primary,yes
384,reach,4.940,verbnet+brown+wn-primary,yes
385,sport,4.730,brown,no
386,approach,4.930,verbnet+brown+wn-primary,yes
387,dance,4.930,verbnet+brown+wn-primary,yes
388,master,4.930,brown,no
389,ship,4.930,verbnet+brown+wn-primary,yes
390,stock,4.930,verbnet+brown,yes
391,trump,4.930,wn-primary,no
392,weekend,4.930,verbnet+wn-primary,no
393,wonder,4.930,verbnet+brown+wn-primary,yes
394,band,4.920,verbnet+brown,yes
395,beach,4.920,verbnet+wn-primary,yes
396,cash,4.920,verbnet+brown,yes
397,compare,4.450,verbnet+brown+wn-primary,no
398,imagine,4.920,verbnet+brown+wn-primary,yes
399,impact,4.920,wn-primary,no
400,lack,4.920,brown+wn-primary,no
401,protect,4.920,verbnet+brown+wn-primary,yes
402,spring,4.920,verbnet+brown+wn-primary,yes
403,wear,4.920,verbnet+brown+wn-primary,yes
404,address,4.910,verbnet+brown+wn-primary,yes
405,choose,4.910,verbnet+brown+wn-primary,yes
406,color,4.910,verbnet+brown+wn-primary,yes
407,commission,4.910,verbnet,yes
408,detail,4.570,verbnet+brown,yes
409,direct,4.910,verbnet+brown+wn-primary,yes
410,dream,4.910,verbnet+brown,yes
411,skin,4.910,verbnet+wn-primary,yes
412,suppose,4.560,verbnet+brown+wn-primary,yes
413,touch,4.910,verbnet+brown+wn-primary,yes
414,catch,4.870,verbnet+brown+wn-primary,yes
415,damage,4.900,verbnet+brown,yes
416,doctor,4.900,verbnet+brown+wn-primary,yes
417,doubt,4.900,verbnet+brown+wn-primary,yes
418,drink,4.900,verbnet+brown+wn-primary,yes
419,establish,4.460,verbnet+brown+wn-primary,yes
420,fish,4.900,verbnet+brown+wn-primary,yes
421,notice,4.900,verbnet+brown+wn-primary,yes
422,sit,4.900,verbnet+brown+wn-primary,yes
423,trip,4.900,verbnet+brown+wn-primary,yes
424,associate,4.390,verbnet+brown+wn-primary,no
425,captain,4.890,verbnet,yes
426,carry,4.890,verbnet+brown+wn-primary,yes
427,explain,4.890,verbnet+brown+wn-primary,yes
428,japan,4.890,verbnet,yes
429,plant,4.890,verbnet+brown+wn-primary,yes
430,spot,4.890,verbnet+brown+wn-primary,yes
431,winter,4.890,verbnet+brown+wn-primary,no
432,award,4.880,verbnet+brown+wn-primary,yes
433,block,4.880,verbnet+brown+wn-primary,yes
434,challenge,4.880,brown+wn-primary,no
435,comment,4.880,verbnet+brown+wn-primary,yes
436,purpose,4.880,verbnet+wn-primary,yes
437,rat,4.170,brown+wn-primary,no
438,shop,4.880,verbnet+brown+wn-primary,yes
439,avoid,4.870,verbnet+brown+wn-primary,no
440,coast,4.870,verbnet+brown,yes
441,drug,4.870,verbnet+brown+wn-primary,yes
442,mass,4.870,verbnet+brown,yes
443,pop,4.870,verbnet+brown+wn-primary,yes
444,produce,4.780,verbnet+brown+wn-primary,yes
445,weather,4.870,wn-primary,no
446,google,4.860,wn-primary,no
447,heat,4.860,verbnet+brown+wn-primary,yes
448,interview,4.860,verbnet+brown+wn-primary,yes
449,locate,3.940,brown+wn-primary,no
450,murder,4.860,verbnet+brown+wn-primary,yes
451,accept,4.850,verbnet+brown+wn-primary,yes
452,appear,4.850,verbnet+brown+wn-primary,yes
453,attempt,4.850,verbnet+brown+wn-primary,no
454,channel,4.850,verbnet+brown,yes
455,exchange,4.850,verbnet+brown+wn-primary,no
456,fell,4.850,brown+wn-primary,no
457,glass,4.850,verbnet+wn-primary,yes
458,ride,4.850,verbnet+brown+wn-primary,yes
459,screen,4.850,verbnet+brown+wn-primary,yes
460,serve,4.850,verbnet+brown+wn-primary,yes
461,slow,4.850,verbnet+brown,yes
462,traffic,4.850,wn-primary,no
463,tree,4.850,verbnet+wn-primary,yes
464,benefit,4.820,verbnet+brown+wn-primary,no
465,demand,4.840,verbnet+brown+wn-primary,yes
466,lie,4.840,verbnet+brown+wn-primary,yes
467,partner,4.840,verbnet+wn-primary,yes
468,raise,4.750,verbnet+brown+wn-primary,yes
469,square,4.840,verbnet+brown+wn-primary,yes
470,structure,4.840,brown,no
471,wind,4.840,verbnet+brown+wn-primary,yes
472,worry,4.840,verbnet+brown+wn-primary,yes
473,brand,4.830,verbnet+wn-primary,yes
474,bus,4.830,verbnet+wn-primary,yes
