Verb,VerbNet Class,Semantic Domain,Situation,WN_Count,WN_Status,WN_Synset_01,WN_Gloss_01,WN_Synset_02,WN_Gloss_02,WN_Synset_03,WN_Gloss_03,WN_Synset_04,WN_Gloss_04,WN_Synset_05,WN_Gloss_05,WN_Synset_06,WN_Gloss_06,WN_Synset_07,WN_Gloss_07,WN_Synset_08,WN_Gloss_08,WN_Synset_09,WN_Gloss_09,WN_Synset_10,WN_Gloss_10
taste,stalk-35.3,Volition,Search,1,Match,sample.v.01,take a sample of,,,,,,,,,,,,,,,,,,
taste,stimulus_subject-30.4,Perception,Attend,2,Match,smack.v.03,have a distinctive or characteristic taste,taste.v.01,have flavor; taste of something,,,,,,,,,,,,,,,,
tattoo,image_impression-25.1,Creation,Image Creation,1,Match,tattoo.v.01,stain (skin) with indelible color,,,,,,,,,,,,,,,,,,
tauten,bend-45.2,Transformation,Basic Change of State,2,Match,tauten.v.02,make taut or tauter,tauten.v.01,become taut or tauter,,,,,,,,,,,,,,,,
tax,bill-54.5,Possession,Transfer of Possession,1,Match,tax.v.01,levy a tax on,,,,,,,,,,,,,,,,,,
tax,bill-54.5,Possession,Pay and Charge,1,Match,tax.v.01,levy a tax on,,,,,,,,,,,,,,,,,,
taxi,vehicle-51.4.1,Motion,Vehicular Motion,1,Match,taxi.v.02,ride in a taxicab,,,,,,,,,,,,,,,,,,
teach,transfer_mesg-37.1.1,Communication,Communicate,1,Match,teach.v.01,impart skills or knowledge to,,,,,,,,,,,,,,,,,,
tear,break-45.1,Transformation,Basic Change of State,2,Match,tear.v.02,to separate or be separated by force,tear.v.01,separate or cause to separate abruptly,,,,,,,,,,,,,,,,
tear,run-51.3.2,Motion,Basic Motion,1,Match,tear.v.03,move quickly and violently,,,,,,,,,,,,,,,,,,
tear,split-23.2,Incremental,Basic Incremental,1,Match,tear.v.02,to separate or be separated by force,,,,,,,,,,,,,,,,,,
tease,braid-41.2.2,Transformation,Causative Change of State,1,Match,tease.v.09,"ruffle (one's hair) by combing the ends towards the scalp, for a full effect",,,,,,,,,,,,,,,,,,
tease,bully-59.5,Affiliation,Attack,2,Match,tease.v.02,harass with persistent criticism or carping,tease.v.01,annoy persistently,,,,,,,,,,,,,,,,
teem,swarm-47.5.1,Existence,Existence,1,Match,teem.v.01,"be teeming, be abuzz",,,,,,,,,,,,,,,,,,
teem,weather-57,Existence,Existence,1,Match,teem.v.01,"be teeming, be abuzz",,,,,,,,,,,,,,,,,,
teeter,body_internal_motion-49.1,Existence,Existence,1,Match,teeter.v.01,"move unsteadily, with a rocking motion",,,,,,,,,,,,,,,,,,
teeter,modes_of_being_with_motion-47.3,Existence,Existence,1,Match,teeter.v.01,"move unsteadily, with a rocking motion",,,,,,,,,,,,,,,,,,
telecast,instr_communication-37.4.1,Communication,Communicate,1,Match,telecast.v.01,broadcast via television,,,,,,,,,,,,,,,,,,
telegraph,instr_communication-37.4.1,Communication,Communicate,1,Match,cable.v.01,"send cables, wires, or telegrams",,,,,,,,,,,,,,,,,,
telephone,instr_communication-37.4.1,Communication,Communicate,1,Match,call.v.03,get or try to get into communication (with someone) by telephone,,,,,,,,,,,,,,,,,,
televise,transcribe-25.4,Creation,Image Creation,1,Match,telecast.v.01,broadcast via television,,,,,,,,,,,,,,,,,,
telex,instr_communication-37.4.1,Communication,Communicate,1,Match,telex.v.01,communicate by telex,,,,,,,,,,,,,,,,,,
tell,transfer_mesg-37.1.1,Communication,Communicate,3,Match,tell.v.02,let something be known,state.v.01,express in words,tell.v.03,narrate or give a detailed account of,,,,,,,,,,,,,,
tell_apart,distinguish-23.5,Association,Liken and Differentiate,1,Match,spot.v.02,detect with the senses,,,,,,,,,,,,,,,,,,
tempt,amuse-31.1,Affect,Affect,2,Match,tempt.v.05,try to seduce,tempt.v.03,give rise to a desire by being attractive or inviting,,,,,,,,,,,,,,,,
tempt,urge-58.1,Communication,Request,1,Match,entice.v.01,provoke someone to do something through (often false or exaggerated) promises or persuasion,,,,,,,,,,,,,,,,,,
tense,other_cos-45.4,Transformation,Basic Change of State,4,Match,tense.v.03,"become tense, nervous, or uneasy",tense.v.04,cause to be tense and uneasy or nervous or anxious,tense.v.02,increase the tension on,strain.v.06,become stretched or tense or taut,,,,,,,,,,,,
term,dub-29.3.2,Communication,Statement,1,Match,term.v.01,name formally or designate with a term,,,,,,,,,,,,,,,,,,
terrify,amuse-31.1,Affect,Affect,1,Match,terrify.v.01,fill with terror; frighten greatly,,,,,,,,,,,,,,,,,,
terrify,bully-59.5,Affiliation,Attack,1,Match,terrify.v.01,fill with terror; frighten greatly,,,,,,,,,,,,,,,,,,
terrorize,amuse-31.1,Affect,Affect,1,Match,terrify.v.01,fill with terror; frighten greatly,,,,,,,,,,,,,,,,,,
test,assessment-34.1,Cognition,Judge,3,Match,test.v.01,"put to the test, as for its quality, or give experimental use to",screen.v.01,test or examine for the presence of disease or infection,quiz.v.01,examine someone's knowledge of something,,,,,,,,,,,,,,
test,investigate-35.4,Volition,Search,1,Match,screen.v.01,test or examine for the presence of disease or infection,,,,,,,,,,,,,,,,,,
testify,lecture-37.11,Communication,Statement,2,Match,testify.v.01,give testimony in a court of law,testify.v.02,provide evidence for,,,,,,,,,,,,,,,,
tether,tape-22.4,Incremental,Basic Incremental,1,Match,tether.v.01,tie with a tether,,,,,,,,,,,,,,,,,,
thank,judgment-33.1,Affiliation,Attack,1,Match,thank.v.01,express gratitude or show appreciation to,,,,,,,,,,,,,,,,,,
thank,judgment-33.1,Cognition,Judge,1,Match,thank.v.01,express gratitude or show appreciation to,,,,,,,,,,,,,,,,,,
thatch,butter-9.9,Incremental,Causative Incremental,1,Match,thatch.v.01,cover with thatch,,,,,,,,,,,,,,,,,,
thaw,other_cos-45.4,Transformation,Basic Change of State,1,Match,dissolve.v.09,become or cause to become soft or liquid,,,,,,,,,,,,,,,,,,
theorize,lecture-37.11,Communication,Statement,2,Match,theorize.v.02,construct a theory about,theorize.v.03,form or construct theories,,,,,,,,,,,,,,,,
thicken,other_cos-45.4,Transformation,Basic Change of State,3,Match,thicken.v.03,make viscous or dense,thicken.v.01,make thick or thicker,thicken.v.02,become thick or thicker,,,,,,,,,,,,,,
thieve,steal-10.5,Possession,Transfer of Possession,1,Match,hook.v.05,take by theft,,,,,,,,,,,,,,,,,,
thin,other_cos-45.4,Transformation,Basic Change of State,4,Match,dilute.v.01,lessen the strength or flavor of a solution or mixture,thin.v.02,make thin or thinner,thin.v.01,lose thickness; become thin or thinner,reduce.v.20,take off weight,,,,,,,,,,,,
think,wish-62,Volition,Search,1,Match,think.v.02,"expect, believe, or suppose",,,,,,,,,,,,,,,,,,
thirst,long-32.2,Volition,Intend,1,Match,crave.v.01,"have a craving, appetite, or great desire for",,,,,,,,,,,,,,,,,,
thrash,spank-18.3,Force,Basic Force,2,Match,thrash.v.06,beat the seeds out of a grain,thrash.v.01,give a thrashing to; beat hard,,,,,,,,,,,,,,,,
threaten,amuse-31.1,Affect,Affect,1,Match,endanger.v.01,pose a threat to; present a danger to,,,,,,,,,,,,,,,,,,
thrill,amuse-31.1,Affect,Affect,3,Match,thrill.v.01,cause to be thrilled by some perceptual input,thrill.v.02,feel sudden intense sensation or emotion,exhilarate.v.01,fill with sublime emotion,,,,,,,,,,,,,,
thrive,exist-47.1,Existence,Existence,2,Match,boom.v.05,grow vigorously,thrive.v.02,make steady progress; be at the high point in one's career or reach a high point in historical significance or importance,,,,,,,,,,,,,,,,
thrive,gorge-39.6,Transformation,Ingestion,1,Match,boom.v.05,grow vigorously,,,,,,,,,,,,,,,,,,
throb,modes_of_being_with_motion-47.3,Existence,Existence,2,Match,throb.v.01,pulsate or pound with abnormal force,shudder.v.02,"tremble convulsively, as from fear or excitement",,,,,,,,,,,,,,,,
throb,tingle-40.8.2,Existence,Existence,1,Match,throb.v.01,pulsate or pound with abnormal force,,,,,,,,,,,,,,,,,,
throng,swarm-47.5.1,Existence,Existence,1,Match,throng.v.01,press tightly together or cram,,,,,,,,,,,,,,,,,,
throw,amuse-31.1,Affect,Affect,2,Match,bewilder.v.02,cause to be confused emotionally,confuse.v.02,be confusing or perplexing to; cause to be unable to think clearly,,,,,,,,,,,,,,,,
throw,throw-17.1,Motion,Throw,4,Match,throw.v.08,"to put into a state or activity hastily, suddenly, or carelessly",throw.v.02,"move violently, energetically, or carelessly",throw.v.01,propel through the air,throw.v.04,place or put with great energy,,,,,,,,,,,,
thrum,sound_emission-43.2,Creation,Emission,1,Match,drum.v.01,make a rhythmic sound,,,,,,,,,,,,,,,,,,
thrust,carry-11.4,Motion,Carry,3,Match,thrust.v.01,push forcefully,throw.v.04,place or put with great energy,thrust.v.02,press or force,,,,,,,,,,,,,,
thrust,push-12,Force,Basic Force,2,Match,thrust.v.01,push forcefully,thrust.v.02,press or force,,,,,,,,,,,,,,,,
thud,bump-18.4,Force,Basic Force,1,Match,thud.v.02,strike with a dull sound,,,,,,,,,,,,,,,,,,
thud,sound_emission-43.2,Creation,Emission,3,Match,thud.v.02,strike with a dull sound,crump.v.01,make a noise typical of an engine lacking lubricants,thud.v.01,make a dull sound,,,,,,,,,,,,,,
thumb,rummage-35.5,Volition,Search,1,Match,flick.v.02,look through a book or other written material,,,,,,,,,,,,,,,,,,
thumbtack,tape-22.4,Incremental,Basic Incremental,1,Match,thumbtack.v.01,fasten with thumbtacks,,,,,,,,,,,,,,,,,,
thump,hit-18.1,Force,Basic Force,1,Match,thump.v.03,"hit hard with the hand, fist, or some heavy instrument",,,,,,,,,,,,,,,,,,
thump,sound_emission-43.2,Creation,Emission,1,Match,thud.v.01,make a dull sound,,,,,,,,,,,,,,,,,,
thump,spank-18.3,Force,Basic Force,2,Match,thud.v.01,make a dull sound,thump.v.03,"hit hard with the hand, fist, or some heavy instrument",,,,,,,,,,,,,,,,
thunder,animal_sounds-38,Creation,Emission,1,Match,thunder.v.04,to make or produce a loud noise,,,,,,,,,,,,,,,,,,
thunder,manner_speaking-37.3,Communication,Statement,1,Match,thunder.v.02,utter words loudly and forcefully,,,,,,,,,,,,,,,,,,
thunder,sound_emission-43.2,Creation,Emission,2,Match,thunder.v.01,"move fast, noisily, and heavily",thunder.v.04,to make or produce a loud noise,,,,,,,,,,,,,,,,
thunder,weather-57,Existence,Existence,1,Match,thunder.v.03,be the case that thunder is being heard,,,,,,,,,,,,,,,,,,
thwack,hit-18.1,Force,Basic Force,1,Match,smack.v.01,deliver a hard blow to,,,,,,,,,,,,,,,,,,
tick,sound_emission-43.2,Creation,Emission,2,Match,tick.v.02,make a sound like a clock or a timer,click.v.02,make a clicking or ticking sound,,,,,,,,,,,,,,,,
tickle,amuse-31.1,Affect,Affect,1,Match,thrill.v.02,feel sudden intense sensation or emotion,,,,,,,,,,,,,,,,,,
tickle,touch-20,Force,Basic Force,2,Match,tickle.v.01,"touch (a body part) lightly so as to excite the surface nerves and cause uneasiness, laughter, or spasmodic movements",tickle.v.03,touch or stroke lightly,,,,,,,,,,,,,,,,
tie,mix-22.1,Incremental,Basic Incremental,2,Match,connect.v.01,"connect, fasten, or put together two or more pieces",tie.v.08,make by tying pieces together,,,,,,,,,,,,,,,,
tie,tape-22.4,Incremental,Basic Incremental,2,Match,connect.v.01,"connect, fasten, or put together two or more pieces",tie.v.01,"fasten or secure with a rope, string, or cord",,,,,,,,,,,,,,,,
tighten,other_cos-45.4,Transformation,Basic Change of State,2,Match,tighten.v.01,make tight or tighter,tighten.v.02,become tight or tighter,,,,,,,,,,,,,,,,
tile,butter-9.9,Incremental,Causative Incremental,1,Match,tile.v.01,cover with tiles,,,,,,,,,,,,,,,,,,
tilt,battle-36.4,Affiliation,Reciprocal,1,Match,tilt.v.04,charge with a tilt,,,,,,,,,,,,,,,,,,
tilt,put_spatial-9.2,Incremental,Basic Incremental,1,Match,lean.v.01,to incline or bend from a vertical position,,,,,,,,,,,,,,,,,,
tin,pocket-9.10,Incremental,Basic Incremental,1,Match,can.v.01,preserve in a can or tin,,,,,,,,,,,,,,,,,,
ting,sound_emission-43.2,Creation,Emission,2,Match,ting.v.01,cause to make a ting,ting.v.02,"make a light, metallic sound; go `ting'",,,,,,,,,,,,,,,,
tinkle,sound_emission-43.2,Creation,Emission,1,Match,tinkle.v.01,make or emit a high sound,,,,,,,,,,,,,,,,,,
tinsel,butter-9.9,Incremental,Causative Incremental,1,Match,tinsel.v.02,adorn with tinsel,,,,,,,,,,,,,,,,,,
tint,coloring-24,Transformation,Causative Change of State,1,Match,tint.v.01,color lightly,,,,,,,,,,,,,,,,,,
tip,pay-68,Possession,Pay and Charge,1,Match,tip.v.03,"give a tip or gratuity to in return for a service, beyond the compensation agreed on",,,,,,,,,,,,,,,,,,
tiptoe,run-51.3.2,Motion,Basic Motion,1,Match,tiptoe.v.01,walk on one's toes,,,,,,,,,,,,,,,,,,
tire,amuse-31.1,Affect,Affect,1,Match,bore.v.01,cause to be bored,,,,,,,,,,,,,,,,,,
tire,marvel-31.3,Affect,Affect,1,Match,tire.v.01,lose interest or become bored with something or somebody,,,,,,,,,,,,,,,,,,
tire,other_cos-45.4,Transformation,Basic Change of State,1,Match,tire.v.02,exhaust or get tired through overuse or great strain or stress,,,,,,,,,,,,,,,,,,
tithe,pay-68,Possession,Pay and Charge,2,Match,tithe.v.03,"pay one tenth of; pay tithes on, especially to the church",tithe.v.04,"pay a tenth of one's income, especially to the church",,,,,,,,,,,,,,,,
titillate,amuse-31.1,Affect,Affect,1,Match,titillate.v.02,excite pleasurably or erotically,,,,,,,,,,,,,,,,,,
titter,nonverbal_expression-40.2,Existence,Existence,1,Match,giggle.v.01,laugh nervously,,,,,,,,,,,,,,,,,,
toast,cooking-45.3,Transformation,Causative Change of State,1,Match,crispen.v.01,make brown and crisp by heating,,,,,,,,,,,,,,,,,,
toast,judgment-33.1,Affiliation,Attack,1,Match,toast.v.02,propose a toast to,,,,,,,,,,,,,,,,,,
toast,judgment-33.1,Cognition,Judge,1,Match,toast.v.02,propose a toast to,,,,,,,,,,,,,,,,,,
toast,preparing-26.3,Creation,Causative Creation,1,Match,crispen.v.01,make brown and crisp by heating,,,,,,,,,,,,,,,,,,
toboggan,vehicle-51.4.1,Motion,Vehicular Motion,1,Match,toboggan.v.01,move along on a luge or toboggan,,,,,,,,,,,,,,,,,,
toddle,run-51.3.2,Motion,Basic Motion,1,Match,toddle.v.01,walk unsteadily,,,,,,,,,,,,,,,,,,
tog_up,dress-41.1.1,Incremental,Basic Incremental,1,Match,dress.v.02,provide with clothes or put clothes on,,,,,,,,,,,,,,,,,,
tolerate,admire-31.2,Attend,Attend,1,Match,digest.v.03,put up with something or somebody unpleasant,,,,,,,,,,,,,,,,,,
toll,sound_emission-43.2,Creation,Emission,1,Match,toll.v.01,ring slowly,,,,,,,,,,,,,,,,,,
tool,carve-21.2,Force,Basic Force,1,Match,tool.v.03,furnish with tools,,,,,,,,,,,,,,,,,,
tool,drive-11.5,Motion,Vehicular Motion,2,Match,joyride.v.01,ride in a car with no particular goal and just for the pleasure of it,tool.v.01,drive,,,,,,,,,,,,,,,,
tool,image_impression-25.1,Creation,Image Creation,1,Match,tool.v.04,work with a tool,,,,,,,,,,,,,,,,,,
tool_around,drive-11.5,Motion,Vehicular Motion,1,Match,joyride.v.01,ride in a car with no particular goal and just for the pleasure of it,,,,,,,,,,,,,,,,,,
toot,sound_emission-43.2,Creation,Emission,1,Match,honk.v.01,make a loud noise,,,,,,,,,,,,,,,,,,
tootle,sound_emission-43.2,Creation,Emission,1,Match,tootle.v.01,play (a musical instrument) casually,,,,,,,,,,,,,,,,,,
top,butter-9.9,Incremental,Causative Incremental,1,Match,top.v.08,cut the top off,,,,,,,,,,,,,,,,,,
top,contiguous_location-47.8,Location,Location,1,Match,top.v.05,provide with a top or finish the top (of a structure),,,,,,,,,,,,,,,,,,
top,exceed-90,Association,Require and Satisfy,2,Match,lead.v.08,be ahead of others; be the first,exceed.v.02,be superior or better than some standard,,,,,,,,,,,,,,,,
topple,other_cos-45.4,Transformation,Basic Change of State,2,Match,tumble.v.01,"fall down, as if collapsing",topple.v.02,cause to topple or tumble by pushing,,,,,,,,,,,,,,,,
torment,amuse-31.1,Affect,Affect,2,Match,torment.v.01,torment emotionally or mentally,torment.v.02,treat cruelly,,,,,,,,,,,,,,,,
toss,preparing-26.3,Creation,Causative Creation,1,Match,toss.v.06,agitate,,,,,,,,,,,,,,,,,,
toss,throw-17.1,Motion,Throw,3,Match,flip.v.06,throw or toss with a light motion,chuck.v.01,throw carelessly,flip.v.01,lightly throw to see which side comes up,,,,,,,,,,,,,,
total,register-54.1,Quantification,Measurement,1,Match,total.v.01,add up in number or quantity,,,,,,,,,,,,,,,,,,
tote,carry-11.4,Motion,Carry,1,Match,lug.v.01,carry with difficulty,,,,,,,,,,,,,,,,,,
totter,body_internal_motion-49.1,Existence,Existence,3,Match,teeter.v.01,"move unsteadily, with a rocking motion",totter.v.01,"move without being stable, as if threatening to fall",toddle.v.01,walk unsteadily,,,,,,,,,,,,,,
totter,modes_of_being_with_motion-47.3,Existence,Existence,2,Match,teeter.v.01,"move unsteadily, with a rocking motion",totter.v.01,"move without being stable, as if threatening to fall",,,,,,,,,,,,,,,,
totter,run-51.3.2,Motion,Basic Motion,3,Match,teeter.v.01,"move unsteadily, with a rocking motion",totter.v.01,"move without being stable, as if threatening to fall",toddle.v.01,walk unsteadily,,,,,,,,,,,,,,
touch,amuse-31.1,Affect,Affect,1,Match,touch.v.03,affect emotionally,,,,,,,,,,,,,,,,,,
touch,contiguous_location-47.8,Location,Location,1,Match,touch.v.05,be in direct physical contact with; make contact,,,,,,,,,,,,,,,,,,
touch,relate-86.2,Association,Require and Satisfy,1,Match,refer.v.02,be relevant to,,,,,,,,,,,,,,,,,,
touch,touch-20,Force,Basic Force,1,Match,touch.v.01,"make physical contact with, come in contact with",,,,,,,,,,,,,,,,,,
touch_on,relate-86.2,Association,Require and Satisfy,1,Match,refer.v.02,be relevant to,,,,,,,,,,,,,,,,,,
toughen,other_cos-45.4,Transformation,Basic Change of State,1,Match,toughen.v.01,make tough or tougher,,,,,,,,,,,,,,,,,,
tout,overstate-37.12,Communication,Statement,1,Match,boast.v.01,show off,,,,,,,,,,,,,,,,,,
tow,carry-11.4,Motion,Carry,1,Match,tow.v.01,drag behind,,,,,,,,,,,,,,,,,,
towel,braid-41.2.2,Transformation,Causative Change of State,1,Match,towel.v.01,wipe with a towel,,,,,,,,,,,,,,,,,,
towel,wipe_instr-10.4.2,Incremental,Causative Incremental,1,Match,towel.v.01,wipe with a towel,,,,,,,,,,,,,,,,,,
tower,exist-47.1,Existence,Existence,1,Match,loom.v.02,appear very large or occupy a commanding position,,,,,,,,,,,,,,,,,,
trace,scribble-25.2,Creation,Image Creation,2,Match,trace.v.02,make a mark or lines on a surface,trace.v.07,copy by following the lines of the original drawing on a transparent sheet placed upon it; make a tracing of,,,,,,,,,,,,,,,,
track,chase-51.6,Motion,Pursuit,1,Match,chase.v.01,go after with the intent to catch,,,,,,,,,,,,,,,,,,
track,stalk-35.3,Volition,Search,1,Match,chase.v.01,go after with the intent to catch,,,,,,,,,,,,,,,,,,
trail,chase-51.6,Motion,Pursuit,1,Match,chase.v.01,go after with the intent to catch,,,,,,,,,,,,,,,,,,
train,hire-13.5.3,Affiliation,Cause Membership,1,Match,prepare.v.05,educate for a future role or function,,,,,,,,,,,,,,,,,,
traipse,run-51.3.2,Motion,Basic Motion,1,Match,traipse.v.01,walk or tramp about,,,,,,,,,,,,,,,,,,
tramp,run-51.3.2,Motion,Basic Motion,4,Match,tramp.v.03,cross on foot,roll.v.12,"move about aimlessly or without any destination, often in search of food or employment",tramp.v.01,"travel on foot, especially on a walking expedition",slog.v.02,"walk heavily and firmly, as when weary, or through mud",,,,,,,,,,,,
transcend,exceed-90,Association,Require and Satisfy,2,Match,exceed.v.01,be greater in scope or size than some standard,exceed.v.02,be superior or better than some standard,,,,,,,,,,,,,,,,
transcribe,transcribe-25.4,Creation,Image Creation,4,Match,transliterate.v.01,rewrite in a different script,transcribe.v.04,make a phonetic transcription of,transcribe.v.03,rewrite or arrange a piece of music for an instrument or medium other than that originally intended,transcribe.v.01,"write out from speech, notes, etc.",,,,,,,,,,,,
transfer,contribute-13.2,Possession,Dynamic Possession,2,Match,transmit.v.04,send from one person or place to another,transfer.v.05,cause to change ownership,,,,,,,,,,,,,,,,
transfer,send-11.1,Motion,Send,2,Match,transfer.v.02,move from one place to another,transmit.v.04,send from one person or place to another,,,,,,,,,,,,,,,,
transform,turn-26.6.1,Transformation,Basic Change of State,2,Match,transform.v.03,change in outward structure or looks,transform.v.02,"change or alter in form, appearance, or nature",,,,,,,,,,,,,,,,
transmit,send-11.1,Motion,Send,2,Match,convey.v.03,transfer to another,transmit.v.04,send from one person or place to another,,,,,,,,,,,,,,,,
transmute,turn-26.6.1,Transformation,Basic Change of State,3,Match,transform.v.03,change in outward structure or looks,transmute.v.03,alter the nature of (elements),transform.v.02,"change or alter in form, appearance, or nature",,,,,,,,,,,,,,
transpire,occur-48.3,Existence,Existence,1,Match,transpire.v.04,"come about, happen, or occur",,,,,,,,,,,,,,,,,,
transport,amuse-31.1,Affect,Affect,1,Match,enchant.v.01,hold spellbound,,,,,,,,,,,,,,,,,,
transport,send-11.1,Motion,Send,3,Match,transmit.v.04,send from one person or place to another,transport.v.04,transport commercially,transport.v.01,move something or somebody around; usually over long distances,,,,,,,,,,,,,,
transship,send-11.1,Motion,Send,1,Match,transship.v.01,transfer for further transportation from one ship or conveyance to another,,,,,,,,,,,,,,,,,,
trap,pocket-9.10,Incremental,Basic Incremental,1,Match,trap.v.02,catch in or as if in a trap,,,,,,,,,,,,,,,,,,
trap,trick-59.2,Affiliation,Inducive,1,Match,trap.v.01,place in a confining or embarrassing position,,,,,,,,,,,,,,,,,,
travel,run-51.3.2,Motion,Basic Motion,2,Match,travel.v.01,"change location; move, travel, or proceed, also metaphorically",travel.v.04,travel upon or across,,,,,,,,,,,,,,,,
trawl,search-35.2,Volition,Search,1,Match,trawl.v.01,fish with trawlers,,,,,,,,,,,,,,,,,,
tread,carve-21.2,Force,Basic Force,1,Match,tread.v.05,apply (the tread) to a tire,,,,,,,,,,,,,,,,,,
tread,run-51.3.2,Motion,Basic Motion,1,Match,tread.v.02,tread or stomp heavily or roughly,,,,,,,,,,,,,,,,,,
treasure,admire-31.2,Attend,Attend,2,Match,care_for.v.02,be fond of; be attached to,prize.v.01,hold dear,,,,,,,,,,,,,,,,
treat,characterize-29.2,Communication,Statement,1,Match,treat.v.08,regard or consider in a specific way,,,,,,,,,,,,,,,,,,
treat,equip-13.4.2,Possession,Transfer of Possession,2,Match,treat.v.05,provide with a gift or entertainment,regale.v.01,provide with choice or abundant food or drink,,,,,,,,,,,,,,,,
tree,pocket-9.10,Incremental,Basic Incremental,1,Match,corner.v.02,force a person or an animal into a position from which he cannot escape,,,,,,,,,,,,,,,,,,
trek,run-51.3.2,Motion,Basic Motion,1,Match,trek.v.01,"journey on foot, especially in the mountains",,,,,,,,,,,,,,,,,,
tremble,body_internal_states-40.6,Existence,Existence,1,Match,tremble.v.01,move or jerk quickly and involuntarily up and down or sideways,,,,,,,,,,,,,,,,,,
tremble,modes_of_being_with_motion-47.3,Existence,Existence,1,Match,tremble.v.01,move or jerk quickly and involuntarily up and down or sideways,,,,,,,,,,,,,,,,,,
trench,carve-21.2,Force,Basic Force,2,Match,trench.v.06,dig a trench or trenches,trench.v.05,"cut a trench in, as for drainage",,,,,,,,,,,,,,,,
trick,trick-59.2,Affiliation,Inducive,1,Match,flim-flam.v.01,deceive somebody,,,,,,,,,,,,,,,,,,
trickle,pour-9.5,Incremental,Basic Incremental,1,Match,trickle.v.01,"run or flow slowly, as in drops or in an unsteady stream",,,,,,,,,,,,,,,,,,
trill,animal_sounds-38,Creation,Emission,1,Match,warble.v.01,"sing or play with trills, alternating with the half note above or below",,,,,,,,,,,,,,,,,,
trill,manner_speaking-37.3,Communication,Statement,2,Match,trill.v.01,"pronounce with a trill, of the phoneme `r'",warble.v.01,"sing or play with trills, alternating with the half note above or below",,,,,,,,,,,,,,,,
trill,sound_emission-43.2,Creation,Emission,2,Match,trill.v.01,"pronounce with a trill, of the phoneme `r'",warble.v.01,"sing or play with trills, alternating with the half note above or below",,,,,,,,,,,,,,,,
trim,braid-41.2.2,Transformation,Causative Change of State,3,Match,pare.v.04,remove the edges from and cut down to the desired size,trim.v.02,"decorate, as with ornaments",trim.v.06,"decorate (food), as with parsley or other ornamental foods",,,,,,,,,,,,,,
trim,wipe_manner-10.4.1,Incremental,Causative Incremental,4,Match,reduce.v.01,cut down on; make a reduction in,pare.v.04,remove the edges from and cut down to the desired size,shave.v.02,cut closely,snip.v.02,"cultivate, tend, and cut back the growth of",,,,,,,,,,,,
trip,other_cos-45.4,Transformation,Basic Change of State,1,Match,trip.v.04,put in motion or move to act,,,,,,,,,,,,,,,,,,
trip,run-51.3.2,Motion,Basic Motion,2,Match,trip.v.02,cause to stumble,stumble.v.02,miss a step and fall or nearly fall,,,,,,,,,,,,,,,,
triple,other_cos-45.4,Transformation,Basic Change of State,1,Match,triple.v.01,increase threefold,,,,,,,,,,,,,,,,,,
trivialize,remedy-45.7,Transformation,Causative Change of State,1,Match,trivialize.v.01,make trivial or insignificant,,,,,,,,,,,,,,,,,,
troll,search-35.2,Volition,Search,1,Match,troll.v.04,angle with a hook and line drawn through the water,,,,,,,,,,,,,,,,,,
troop,run-51.3.2,Motion,Basic Motion,1,Match,troop.v.02,move or march as if in a crowd,,,,,,,,,,,,,,,,,,
trot,run-51.3.2,Motion,Basic Motion,3,Match,trot.v.02,ride at a trot,trot.v.01,run at a moderately swift pace,trot.v.03,cause to trot,,,,,,,,,,,,,,
trouble,amuse-31.1,Affect,Affect,2,Match,perturb.v.01,disturb in mind or make uneasy or cause to be worried or alarmed,disturb.v.01,move deeply,,,,,,,,,,,,,,,,
truck,drive-11.5,Motion,Vehicular Motion,1,Match,truck.v.01,convey (goods etc.) by truck,,,,,,,,,,,,,,,,,,
trudge,run-51.3.2,Motion,Basic Motion,1,Match,slog.v.02,"walk heavily and firmly, as when weary, or through mud",,,,,,,,,,,,,,,,,,
trumpet,manner_speaking-37.3,Communication,Statement,1,Match,trumpet.v.01,"proclaim on, or as if on, a trumpet",,,,,,,,,,,,,,,,,,
trumpet,sound_emission-43.2,Creation,Emission,1,Match,trumpet.v.03,utter in trumpet-like sounds,,,,,,,,,,,,,,,,,,
trundle,drive-11.5,Motion,Vehicular Motion,1,Match,trundle.v.01,move heavily,,,,,,,,,,,,,,,,,,
trundle,run-51.3.2,Motion,Basic Motion,1,Match,trundle.v.01,move heavily,,,,,,,,,,,,,,,,,,
truss,tape-22.4,Incremental,Basic Incremental,1,Match,tie_down.v.01,secure with or as if with ropes,,,,,,,,,,,,,,,,,,
trust,admire-31.2,Attend,Attend,1,Match,trust.v.01,have confidence or faith in,,,,,,,,,,,,,,,,,,
trust,conjecture-29.5,Cognition,Judge,1,Match,believe.v.03,be confident about something,,,,,,,,,,,,,,,,,,
try,amuse-31.1,Affect,Affect,1,Match,try.v.06,give pain or trouble to,,,,,,,,,,,,,,,,,,
try_on,assessment-34.1,Cognition,Judge,1,Match,try_on.v.01,put on a garment in order to see whether it fits and looks nice,,,,,,,,,,,,,,,,,,
try_out,assessment-34.1,Cognition,Judge,3,Match,experiment.v.02,"try something new, as in order to gain experience",sample.v.01,take a sample of,test.v.01,"put to the test, as for its quality, or give experimental use to",,,,,,,,,,,,,,
tuck,funnel-9.3,Incremental,Basic Incremental,1,Match,tuck.v.01,fit snugly into,,,,,,,,,,,,,,,,,,
