Verb,VerbNet Class,Semantic Domain,Situation,WN_Count,WN_Status,WN_Synset_01,WN_Gloss_01,WN_Synset_02,WN_Gloss_02,WN_Synset_03,WN_Gloss_03,WN_Synset_04,WN_Gloss_04,WN_Synset_05,WN_Gloss_05,WN_Synset_06,WN_Gloss_06,WN_Synset_07,WN_Gloss_07,WN_Synset_08,WN_Gloss_08,WN_Synset_09,WN_Gloss_09,WN_Synset_10,WN_Gloss_10
disappear,disappearance-48.2,Motion,Basic Motion,3,Match,vanish.v.04,cease to exist,disappear.v.01,"get lost, as without warning or explanation",vanish.v.02,become invisible or unnoticeable,,,,,,,,,,,,,,
disapprove,marvel-31.3,Affect,Affect,2,Match,disapprove.v.01,consider bad or wrong,disapprove.v.02,deem wrong or inappropriate,,,,,,,,,,,,,,,,
disarm,amuse-31.1,Affect,Affect,1,Match,disarm.v.02,make less hostile; win over,,,,,,,,,,,,,,,,,,
disarm,deprive-10.6.2,Possession,Transfer of Possession,1,Match,disarm.v.03,take away the weapons from; render harmless,,,,,,,,,,,,,,,,,,
disassemble,disassemble-23.3,Incremental,Basic Incremental,1,Match,disassemble.v.01,take apart into its constituent pieces,,,,,,,,,,,,,,,,,,
disassociate,separate-23.1,Incremental,Basic Incremental,1,Match,disassociate.v.01,part; cease or break association with,,,,,,,,,,,,,,,,,,
disburse,contribute-13.2,Possession,Dynamic Possession,1,Match,disburse.v.01,"expend, as from a fund",,,,,,,,,,,,,,,,,,
discard,throw-17.1,Motion,Throw,1,Match,discard.v.01,throw or cast away,,,,,,,,,,,,,,,,,,
discern,see-30.1,Perception,Sense,1,Match,spot.v.02,detect with the senses,,,,,,,,,,,,,,,,,,
discharge,banish-10.2,Affiliation,Cause Membership,2,Match,free.v.06,free from obligations or duties,discharge.v.10,release from military service,,,,,,,,,,,,,,,,
discharge,remove-10.1,Incremental,Causative Incremental,3,Match,exhaust.v.05,eliminate (a substance),discharge.v.02,pour forth or release,drop.v.08,leave or unload,,,,,,,,,,,,,,
discombobulate,amuse-31.1,Affect,Affect,2,Match,bewilder.v.02,cause to be confused emotionally,confuse.v.02,be confusing or perplexing to; cause to be unable to think clearly,,,,,,,,,,,,,,,,
discomfit,amuse-31.1,Affect,Affect,1,Match,upset.v.02,cause to lose one's composure,,,,,,,,,,,,,,,,,,
disconcert,amuse-31.1,Affect,Affect,2,Match,upset.v.02,cause to lose one's composure,confuse.v.03,cause to feel embarrassment,,,,,,,,,,,,,,,,
